user_id,user_journey,subscription_type
19458,Homepage-Sign up-Other-Homepage-Pricing-Homepage-Career track certificate-Career tracks-Career track certificate-Career tracks-Career track certificate-Career tracks-Courses-Coupon,Annual
20355,Pricing-Courses-Career track certificate-Pricing-Homepage-Checkout,Monthly
20355,Pricing-Courses-Career track certificate-Pricing-Homepage-Checkout,Monthly
20355,Pricing-Courses-Career track certificate-Pricing-Homepage-Checkout,Monthly
22679,Coupon,Annual
22679,Coupon,Annual
23292,Homepage-Coupon-Homepage-Checkout,Annual
23292,Homepage-Coupon-Homepage-Checkout,Annual
23292,Homepage-Coupon-Homepage-Checkout,Annual
23292,Homepage-Coupon-Homepage-Checkout,Annual
23292,Homepage-Coupon-Homepage-Checkout,Annual
23292,Homepage-Coupon-Homepage-Checkout,Annual
23292,Homepage-Coupon-Homepage-Checkout,Annual
23292,Homepage-Coupon-Homepage-Checkout,Annual
23292,Homepage-Coupon-Homepage-Checkout,Annual
23292,Homepage-Coupon-Homepage-Checkout,Annual
23292,Homepage-Coupon-Homepage-Checkout,Annual
24414,Coupon,Annual
24414,Coupon,Annual
31705,Homepage-Pricing-Career tracks-Checkout-Homepage-Checkout,Annual
31705,Homepage-Pricing-Career tracks-Checkout-Homepage-Checkout,Annual
31705,Homepage-Pricing-Career tracks-Checkout-Homepage-Checkout,Annual
31705,Homepage-Pricing-Career tracks-Checkout-Homepage-Checkout,Annual
31705,Homepage-Pricing-Career tracks-Checkout-Homepage-Checkout,Annual
31705,Homepage-Pricing-Career tracks-Checkout-Homepage-Checkout,Annual
31705,Homepage-Pricing-Career tracks-Checkout-Homepage-Checkout,Annual
31705,Homepage-Pricing-Career tracks-Checkout-Homepage-Checkout,Annual
34689,Homepage-Career tracks-Courses-Sign up-Homepage-Checkout,Monthly
34689,Homepage-Career tracks-Courses-Sign up-Homepage-Checkout,Monthly
34689,Homepage-Career tracks-Courses-Sign up-Homepage-Checkout,Monthly
34689,Homepage-Career tracks-Courses-Sign up-Homepage-Checkout,Monthly
34689,Homepage-Career tracks-Courses-Sign up-Homepage-Checkout,Monthly
34689,Homepage-Career tracks-Courses-Sign up-Homepage-Checkout,Monthly
34689,Homepage-Career tracks-Courses-Sign up-Homepage-Checkout,Monthly
34912,Checkout,Annual
34912,Checkout,Annual
34912,Checkout,Annual
37614,Pricing-Resources center-Sign up-Checkout-Homepage-Courses-Pricing-Homepage-Career tracks-Sign up-Homepage-Pricing-Coupon-Pricing-Checkout-Pricing-Checkout-Homepage-Career tracks-Homepage-Career tracks-Pricing-Career tracks-Pricing-Homepage-Other-Homepage-Checkout-Homepage-Coupon,Annual
37614,Pricing-Resources center-Sign up-Checkout-Homepage-Courses-Pricing-Homepage-Career tracks-Sign up-Homepage-Pricing-Coupon-Pricing-Checkout-Pricing-Checkout-Homepage-Career tracks-Homepage-Career tracks-Pricing-Career tracks-Pricing-Homepage-Other-Homepage-Checkout-Homepage-Coupon,Annual
37614,Pricing-Resources center-Sign up-Checkout-Homepage-Courses-Pricing-Homepage-Career tracks-Sign up-Homepage-Pricing-Coupon-Pricing-Checkout-Pricing-Checkout-Homepage-Career tracks-Homepage-Career tracks-Pricing-Career tracks-Pricing-Homepage-Other-Homepage-Checkout-Homepage-Coupon,Annual
37614,Pricing-Resources center-Sign up-Checkout-Homepage-Courses-Pricing-Homepage-Career tracks-Sign up-Homepage-Pricing-Coupon-Pricing-Checkout-Pricing-Checkout-Homepage-Career tracks-Homepage-Career tracks-Pricing-Career tracks-Pricing-Homepage-Other-Homepage-Checkout-Homepage-Coupon,Annual
37614,Pricing-Resources center-Sign up-Checkout-Homepage-Courses-Pricing-Homepage-Career tracks-Sign up-Homepage-Pricing-Coupon-Pricing-Checkout-Pricing-Checkout-Homepage-Career tracks-Homepage-Career tracks-Pricing-Career tracks-Pricing-Homepage-Other-Homepage-Checkout-Homepage-Coupon,Annual
37614,Pricing-Resources center-Sign up-Checkout-Homepage-Courses-Pricing-Homepage-Career tracks-Sign up-Homepage-Pricing-Coupon-Pricing-Checkout-Pricing-Checkout-Homepage-Career tracks-Homepage-Career tracks-Pricing-Career tracks-Pricing-Homepage-Other-Homepage-Checkout-Homepage-Coupon,Annual
37614,Pricing-Resources center-Sign up-Checkout-Homepage-Courses-Pricing-Homepage-Career tracks-Sign up-Homepage-Pricing-Coupon-Pricing-Checkout-Pricing-Checkout-Homepage-Career tracks-Homepage-Career tracks-Pricing-Career tracks-Pricing-Homepage-Other-Homepage-Checkout-Homepage-Coupon,Annual
37614,Pricing-Resources center-Sign up-Checkout-Homepage-Courses-Pricing-Homepage-Career tracks-Sign up-Homepage-Pricing-Coupon-Pricing-Checkout-Pricing-Checkout-Homepage-Career tracks-Homepage-Career tracks-Pricing-Career tracks-Pricing-Homepage-Other-Homepage-Checkout-Homepage-Coupon,Annual
37614,Pricing-Resources center-Sign up-Checkout-Homepage-Courses-Pricing-Homepage-Career tracks-Sign up-Homepage-Pricing-Coupon-Pricing-Checkout-Pricing-Checkout-Homepage-Career tracks-Homepage-Career tracks-Pricing-Career tracks-Pricing-Homepage-Other-Homepage-Checkout-Homepage-Coupon,Annual
37614,Pricing-Resources center-Sign up-Checkout-Homepage-Courses-Pricing-Homepage-Career tracks-Sign up-Homepage-Pricing-Coupon-Pricing-Checkout-Pricing-Checkout-Homepage-Career tracks-Homepage-Career tracks-Pricing-Career tracks-Pricing-Homepage-Other-Homepage-Checkout-Homepage-Coupon,Annual
37614,Pricing-Resources center-Sign up-Checkout-Homepage-Courses-Pricing-Homepage-Career tracks-Sign up-Homepage-Pricing-Coupon-Pricing-Checkout-Pricing-Checkout-Homepage-Career tracks-Homepage-Career tracks-Pricing-Career tracks-Pricing-Homepage-Other-Homepage-Checkout-Homepage-Coupon,Annual
37614,Pricing-Resources center-Sign up-Checkout-Homepage-Courses-Pricing-Homepage-Career tracks-Sign up-Homepage-Pricing-Coupon-Pricing-Checkout-Pricing-Checkout-Homepage-Career tracks-Homepage-Career tracks-Pricing-Career tracks-Pricing-Homepage-Other-Homepage-Checkout-Homepage-Coupon,Annual
37614,Pricing-Resources center-Sign up-Checkout-Homepage-Courses-Pricing-Homepage-Career tracks-Sign up-Homepage-Pricing-Coupon-Pricing-Checkout-Pricing-Checkout-Homepage-Career tracks-Homepage-Career tracks-Pricing-Career tracks-Pricing-Homepage-Other-Homepage-Checkout-Homepage-Coupon,Annual
37614,Pricing-Resources center-Sign up-Checkout-Homepage-Courses-Pricing-Homepage-Career tracks-Sign up-Homepage-Pricing-Coupon-Pricing-Checkout-Pricing-Checkout-Homepage-Career tracks-Homepage-Career tracks-Pricing-Career tracks-Pricing-Homepage-Other-Homepage-Checkout-Homepage-Coupon,Annual
37614,Pricing-Resources center-Sign up-Checkout-Homepage-Courses-Pricing-Homepage-Career tracks-Sign up-Homepage-Pricing-Coupon-Pricing-Checkout-Pricing-Checkout-Homepage-Career tracks-Homepage-Career tracks-Pricing-Career tracks-Pricing-Homepage-Other-Homepage-Checkout-Homepage-Coupon,Annual
37614,Pricing-Resources center-Sign up-Checkout-Homepage-Courses-Pricing-Homepage-Career tracks-Sign up-Homepage-Pricing-Coupon-Pricing-Checkout-Pricing-Checkout-Homepage-Career tracks-Homepage-Career tracks-Pricing-Career tracks-Pricing-Homepage-Other-Homepage-Checkout-Homepage-Coupon,Annual
37614,Pricing-Resources center-Sign up-Checkout-Homepage-Courses-Pricing-Homepage-Career tracks-Sign up-Homepage-Pricing-Coupon-Pricing-Checkout-Pricing-Checkout-Homepage-Career tracks-Homepage-Career tracks-Pricing-Career tracks-Pricing-Homepage-Other-Homepage-Checkout-Homepage-Coupon,Annual
37614,Pricing-Resources center-Sign up-Checkout-Homepage-Courses-Pricing-Homepage-Career tracks-Sign up-Homepage-Pricing-Coupon-Pricing-Checkout-Pricing-Checkout-Homepage-Career tracks-Homepage-Career tracks-Pricing-Career tracks-Pricing-Homepage-Other-Homepage-Checkout-Homepage-Coupon,Annual
37614,Pricing-Resources center-Sign up-Checkout-Homepage-Courses-Pricing-Homepage-Career tracks-Sign up-Homepage-Pricing-Coupon-Pricing-Checkout-Pricing-Checkout-Homepage-Career tracks-Homepage-Career tracks-Pricing-Career tracks-Pricing-Homepage-Other-Homepage-Checkout-Homepage-Coupon,Annual
37614,Pricing-Resources center-Sign up-Checkout-Homepage-Courses-Pricing-Homepage-Career tracks-Sign up-Homepage-Pricing-Coupon-Pricing-Checkout-Pricing-Checkout-Homepage-Career tracks-Homepage-Career tracks-Pricing-Career tracks-Pricing-Homepage-Other-Homepage-Checkout-Homepage-Coupon,Annual
37614,Pricing-Resources center-Sign up-Checkout-Homepage-Courses-Pricing-Homepage-Career tracks-Sign up-Homepage-Pricing-Coupon-Pricing-Checkout-Pricing-Checkout-Homepage-Career tracks-Homepage-Career tracks-Pricing-Career tracks-Pricing-Homepage-Other-Homepage-Checkout-Homepage-Coupon,Annual
37614,Pricing-Resources center-Sign up-Checkout-Homepage-Courses-Pricing-Homepage-Career tracks-Sign up-Homepage-Pricing-Coupon-Pricing-Checkout-Pricing-Checkout-Homepage-Career tracks-Homepage-Career tracks-Pricing-Career tracks-Pricing-Homepage-Other-Homepage-Checkout-Homepage-Coupon,Annual
37614,Pricing-Resources center-Sign up-Checkout-Homepage-Courses-Pricing-Homepage-Career tracks-Sign up-Homepage-Pricing-Coupon-Pricing-Checkout-Pricing-Checkout-Homepage-Career tracks-Homepage-Career tracks-Pricing-Career tracks-Pricing-Homepage-Other-Homepage-Checkout-Homepage-Coupon,Annual
37614,Pricing-Resources center-Sign up-Checkout-Homepage-Courses-Pricing-Homepage-Career tracks-Sign up-Homepage-Pricing-Coupon-Pricing-Checkout-Pricing-Checkout-Homepage-Career tracks-Homepage-Career tracks-Pricing-Career tracks-Pricing-Homepage-Other-Homepage-Checkout-Homepage-Coupon,Annual
